Name;Month;Star;Comment
Ural;1;1;Просто ужасно.
Ural;1;1;Компания,преступники!
Ural;1;5;Большое спасибо командиру корабля рейса U6 651 09.01.22 Москва-Барнаул
Ural;1;1;Ужасные авиалинии
Ural;1;1;Эпоха задержек подходит к концу. Я перестаю летать уральскими.
Ural;1;2;Компания жуликов
Ural;1;1;Никогда не летайте этой авиакомпанией
Ural;1;2;Туда и обратно по 6-8часов в ожидании рейса
Ural;1;4;Not so bad
Ural;1;3;Не самые лучшие )
Ural;1;1;Отвпатительльная компания!
Ural;1;1;Это хуже любого лоукостера.
Ural;1;1;Испорченный отпуск и праздники
Ural;1;1;Баг на сайте компании чуть не стоил рейса
Ural;1;5;Качество услуг Уральских авиалиний
Ural;1;1;Ужасно!
Ural;1;3;Давно не мотал себе нервов.
Ural;1;1;Ужасный сервис
Ural;1;5;.
Ural;1;1;Слышал такую жесть о победе, но уральские, видимо, ещё хуже
Ural;1;5;Спасибо большое
Ural;1;5;Я летела с дочерью из Калиниграда в Санкт Петербург рейсом 392,наш рейс был задержан по метеоусловиям аэропорта Храброво,поэтому пришлось долгое время сидеть,спасибо авиакомпании обеспечили горячим питанием,прохладительными напитками.На борту самолета бортпроводники создали комфортные условия,очень доброжелательные,а командиру экипажа особая благодарность при снегопадах в Санкт Петербурге сел очень мягко.Жаль,что когда командир говорит не представляется.Спасибо авиакомпания!
Ural;1;3;Полёт хороший, но за 5 часов не покормили, а доли только стакан Воды ! Это минус (
Ural;1;5;Приятно летать этими А/Л
Ural;1;1;Летели из Египта рейсом 7306 (22 января 2022), на борт пустили мужика пьяного настолько что еле стоял на ногах, ему продали на первый ряд билет прямо на стойке регистрации, весь полет он блевал, а стюардессы продавали ему через попутчицу алкоголь, все 5 часов полета как в аду, смрад, перегар, блевотина, кстати я так же купил билет на этот первый ряд для комфортного полета. На претензии стюардессам, сказали он же не буянит. Правила видимо касаются только тех кто буянит, остальным закон не писан включая экипаж. Безопасность и комфорт - гласит лозунг авиакомпании, вот уж не поспоришь!
Ural;1;5;Много прочитал отзывов. Больше плохих. Столкнулся лично, все понравилось. Небыло проволочек, задержек. Все по графику. Остался, приятно удивлён. Спасибо!
